rank,city,state,population,main_keyword,main_keyword_volume,cluster_volume,cpc,competition_providers,demand_score,market_score,commercial_intent_score,competition_score,cluster_score,ranking_chance_score,total_score,priority,volume_source,notes
14,Bochum,Nordrhein-Westfalen,365000,entrümpelung bochum,164,525,4.20,55,18.2,7.8,17.0,6.4,9.0,3.0,61.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; 55 geschätzte Anbieter"
15,Bonn,Nordrhein-Westfalen,332000,entrümpelung bonn,149,478,4.50,55,17.5,7.5,17.0,6.4,9.0,3.5,60.9,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Köln-Bonn-Cluster; sehr lukrativ als Teil des Verbunds"
16,Hannover,Niedersachsen,535000,entrümpelung hannover,241,770,4.50,124,20.9,9.0,17.0,4.6,6.0,3.0,60.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"NDS-Hauptstadt; 124 Anbieter; mittlerer Wettbewerb"
17,Bremen,Bremen,569000,entrümpelung bremen,256,819,4.20,133,21.4,9.2,17.0,4.4,5.0,2.5,59.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Stadtstat; 133 Anbieter; intensiver Wettbewerb relativ zur Stadtgröße"
18,Wuppertal,Nordrhein-Westfalen,355000,entrümpelung wuppertal,160,511,4.00,45,18.0,7.7,17.0,6.9,7.0,3.0,59.6,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Bergisches Städtedreieck (Solingen, Remscheid)"
19,Gelsenkirchen,Nordrhein-Westfalen,259000,entrümpelung gelsenkirchen,117,373,3.80,35,15.7,6.7,17.0,7.4,9.0,3.5,59.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; niedrige Wettbewerbsdichte relativ zu Stadtgröße"
20,Mannheim,Baden-Württemberg,309000,entrümpelung mannheim,139,445,4.50,45,17.0,7.3,17.0,6.9,7.0,3.5,58.7,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Mannheim-Ludwigshafen-Heidelberg-Cluster; starke Verflechtung"
21,Mönchengladbach,Nordrhein-Westfalen,261000,entrümpelung mönchengladbach,117,375,4.00,35,15.8,6.8,17.0,7.4,8.0,3.5,58.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet-West; gutes Cluster-Potenzial"
22,Augsburg,Bayern,300000,entrümpelung augsburg,135,432,5.00,45,16.8,7.2,17.0,6.9,7.0,3.5,58.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Bayern; München-Augsburg-Achse; gutes Preisniveau"
23,Wiesbaden,Hessen,280000,entrümpelung wiesbaden,126,403,5.00,50,16.3,7.0,17.0,6.6,8.0,3.5,58.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Hessen-Hauptstadt; Frankfurt-Rhein-Main-Cluster"
24,Bielefeld,Nordrhein-Westfalen,340000,entrümpelung bielefeld,153,489,4.00,38,17.7,7.6,17.0,7.2,5.0,3.5,58.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"OWL-Zentrum; moderate Wettbewerbsdichte"
25,Oberhausen,Nordrhein-Westfalen,210000,entrümpelung oberhausen,94,302,3.80,30,14.2,6.1,17.0,7.7,9.0,4.0,58.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; wenig Wettbewerb; stark durch Verbund"
26,Karlsruhe,Baden-Württemberg,311000,entrümpelung karlsruhe,140,447,4.80,40,17.0,7.3,17.0,7.1,6.0,3.5,57.9,B,SCHÄTZUNG (Bevölkerungs-Proxy),"BW-Stadt; moderate Wettbewerbsdichte"
27,Krefeld,Nordrhein-Westfalen,226000,entrümpelung krefeld,102,325,3.80,30,14.7,6.3,17.0,7.7,8.0,4.0,57.7,B,SCHÄTZUNG (Bevölkerungs-Proxy),"NRW; Düsseldorf-Rhein-Cluster"
28,Mülheim an der Ruhr,Nordrhein-Westfalen,170000,entrümpelung mülheim,76,244,3.80,25,12.9,5.5,17.0,8.2,9.0,4.5,57.1,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; wenig Wettbewerb; starkes Cluster"
29,Herne,Nordrhein-Westfalen,154000,entrümpelung herne,69,222,3.80,20,12.5,5.4,17.0,8.6,9.0,4.5,57.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet-Kern; sehr wenig Wettbewerb"
30,Halle (Saale),Sachsen-Anhalt,238000,entrümpelung halle,107,342,3.20,25,15.1,6.5,17.0,8.2,6.0,4.5,57.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Sachsen-Anhalt; östlicher Markt mit günstiger Wettbewerbslage; Leipzig-Cluster"
31,Münster,Nordrhein-Westfalen,317000,entrümpelung münster,143,457,4.50,50,17.2,7.4,17.0,6.6,5.0,3.5,56.7,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Westfalen-Metropole; Uni-Stadt; moderate Wettbewerbsdichte"
32,Mainz,Rheinland-Pfalz,218000,entrümpelung mainz,98,314,5.00,38,14.3,6.1,17.0,7.2,8.0,3.5,56.1,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Frankfurt-Mainz-Wiesbaden-Cluster; sehr lukrativ"
33,Hagen,Nordrhein-Westfalen,189000,entrümpelung hagen,85,272,3.80,25,13.5,5.8,17.0,8.2,7.0,4.5,56.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet-Rand; niedriger Wettbewerb"
34,Hamm,Nordrhein-Westfalen,179000,entrümpelung hamm,80,257,3.80,20,13.2,5.7,17.0,8.6,7.0,4.5,56.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet-Rand; sehr niedriger Wettbewerb"
35,Offenbach am Main,Hessen,134000,entrümpelung offenbach,60,192,5.00,20,11.8,5.1,17.0,8.6,9.0,4.5,56.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Frankfurt-Cluster; exzellentes Potenzial als Satellit"
36,Ludwigshafen am Rhein,Rheinland-Pfalz,172000,entrümpelung ludwigshafen,77,247,4.50,15,12.9,5.5,17.0,9.1,7.0,4.5,56.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Mannheim-Cluster; sehr wenig Wettbewerb; gute SEO-Chance"
37,Leverkusen,Nordrhein-Westfalen,163000,entrümpelung leverkusen,73,235,4.50,25,12.7,5.4,17.0,8.2,9.0,4.0,56.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Köln-Leverkusen-Cluster; sehr attraktiv"
38,Potsdam,Brandenburg,185000,entrümpelung potsdam,83,266,4.20,30,13.4,5.7,17.0,7.7,9.0,3.5,56.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Berlin-Cluster; hohes Potenzial als Satellit; wachsende Stadt"
39,Neuss,Nordrhein-Westfalen,152000,entrümpelung neuss,68,219,4.20,15,12.4,5.3,17.0,9.1,8.0,4.5,56.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Düsseldorf-Cluster; sehr wenig Wettbewerb"
40,Wuppertal,Nordrhein-Westfalen,355000,entrümpelung wuppertal,160,511,4.00,45,18.0,7.7,17.0,6.9,7.0,3.0,59.6,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Doppelterfassung - verwendet Wuppertal-Zeile Rang 18"
41,Darmstadt,Hessen,160000,entrümpelung darmstadt,72,230,5.00,25,12.7,5.4,17.0,8.2,8.0,4.0,55.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Frankfurt-Cluster; Rhein-Main; wenig Wettbewerb"
42,Bergisch Gladbach,Nordrhein-Westfalen,112000,entrümpelung bergisch gladbach,50,161,4.20,12,11.0,4.7,17.0,9.3,9.0,4.5,55.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Köln-Cluster; Satellit; sehr geringer Wettbewerb; sehr gute Chance"
43,Erfurt,Thüringen,214000,entrümpelung erfurt,96,308,3.50,20,14.3,6.1,17.0,8.6,5.0,4.5,55.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Thüringen-Hauptstadt; niedriger Wettbewerb Ostdeutschland"
44,Aachen,Nordrhein-Westfalen,249000,entrümpelung aachen,112,358,4.20,35,15.4,6.6,17.0,7.4,5.0,4.0,55.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Dreiländereck; moderate Wettbewerbsdichte"
45,Chemnitz,Sachsen,243000,entrümpelung chemnitz,109,350,3.20,30,15.2,6.5,17.0,7.7,5.0,4.0,55.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Sachsen; Kulturhauptstadt 2025-Effekt; wenig Wettbewerb"
46,Solingen,Nordrhein-Westfalen,159000,entrümpelung solingen,71,229,3.80,20,12.6,5.4,17.0,8.6,7.0,4.5,55.1,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Bergisches Städtedreieck; niedrige Wettbewerbsdichte"
47,Magdeburg,Sachsen-Anhalt,235000,entrümpelung magdeburg,106,338,3.20,25,15.0,6.4,17.0,8.2,4.0,4.5,55.1,B,SCHÄTZUNG (Bevölkerungs-Proxy),"ST-Hauptstadt; niedriger Wettbewerb; gutes Potenzial"
48,Fürth,Bayern,128000,entrümpelung fürth,58,185,4.80,15,11.6,5.0,17.0,9.1,8.0,4.5,55.2,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Nürnberg-Cluster; sehr wenig eigenständiger Wettbewerb"
49,Erlangen,Bayern,114000,entrümpelung erlangen,51,164,4.80,12,11.0,4.7,17.0,9.3,8.0,5.0,55.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Nürnberg-Cluster; Uni-Stadt; kaum Wettbewerb"
50,Freiburg im Breisgau,Baden-Württemberg,231000,entrümpelung freiburg,104,332,4.50,30,14.9,6.4,17.0,7.7,5.0,4.0,55.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"BW; Uni-Stadt; moderate Wettbewerbsdichte"
51,Braunschweig,Niedersachsen,249000,entrümpelung braunschweig,112,358,4.00,30,15.4,6.6,17.0,7.7,4.0,4.0,54.7,B,SCHÄTZUNG (Bevölkerungs-Proxy),"NDS; moderate Größe und Wettbewerb"
52,Lübeck,Schleswig-Holstein,215000,entrümpelung lübeck,97,309,3.80,20,14.3,6.1,17.0,8.6,4.0,4.5,54.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"SH; Hansestadt; wenig Wettbewerb"
53,Recklinghausen,Nordrhein-Westfalen,115000,entrümpelung recklinghausen,52,165,3.80,15,11.1,4.8,17.0,9.1,8.0,4.5,54.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; kaum eigenständiger Wettbewerb"
54,Kiel,Schleswig-Holstein,241000,entrümpelung kiel,108,347,3.80,30,15.2,6.5,17.0,7.7,4.0,4.0,54.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"SH-Hauptstadt; niedrige Wettbewerbsdichte"
55,Rostock,Mecklenburg-Vorpommern,210000,entrümpelung rostock,94,302,3.50,20,14.2,6.1,17.0,8.6,4.0,4.5,54.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"MV-Großstadt; sehr niedriger Wettbewerb; Küstenregion"
56,Moers,Nordrhein-Westfalen,103000,entrümpelung moers,46,148,3.80,10,10.4,4.5,17.0,9.4,8.0,5.0,54.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Duisburg-Cluster; kaum eigenständiger Wettbewerb; gute Chance"
57,Heidelberg,Baden-Württemberg,161000,entrümpelung heidelberg,72,231,5.00,30,12.7,5.4,17.0,7.7,7.0,4.0,53.8,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Mannheim-Cluster; Uni-Stadt"
58,Witten,Nordrhein-Westfalen,96000,entrümpelung witten,43,138,3.80,10,10.1,4.3,17.0,9.4,8.0,5.0,53.8,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; kaum Wettbewerb"
59,Ludwigsburg,Baden-Württemberg,95000,entrümpelung ludwigsburg,43,137,4.80,10,10.0,4.3,17.0,9.4,8.0,5.0,53.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Stuttgart-Cluster; sehr attraktiver Satellit"
60,Remscheid,Nordrhein-Westfalen,109000,entrümpelung remscheid,49,157,3.80,12,10.7,4.6,17.0,9.3,7.0,5.0,53.6,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Bergisches Städtedreieck; kaum Wettbewerb"
61,Saarbrücken,Saarland,178000,entrümpelung saarbrücken,80,256,3.50,20,13.2,5.7,17.0,8.6,4.0,4.5,53.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"SL-Hauptstadt; niedriger Wettbewerb; isolierter Markt"
62,Ingolstadt,Bayern,141000,entrümpelung ingolstadt,63,203,5.00,20,12.1,5.2,17.0,8.6,6.0,4.5,53.4,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Bayern; München-Cluster-Rand; wenig Wettbewerb"
63,Reutlingen,Baden-Württemberg,116000,entrümpelung reutlingen,52,167,4.50,12,11.1,4.8,17.0,9.3,6.0,4.5,52.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Stuttgart-Cluster; kaum eigenständiger Wettbewerb"
64,Kassel,Hessen,201000,entrümpelung kassel,90,290,4.00,28,13.8,5.9,17.0,7.9,4.0,4.0,52.6,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Nordhessen; moderate Stadt mit gutem Potenzial"
65,Regensburg,Bayern,155000,entrümpelung regensburg,70,223,5.00,25,12.5,5.4,17.0,8.2,5.0,4.5,52.6,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Bayern; Uni-Stadt; wenig lokaler Wettbewerb"
66,Paderborn,Nordrhein-Westfalen,153000,entrümpelung paderborn,69,220,4.00,15,12.4,5.3,17.0,9.1,4.0,4.5,52.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"OWL; sehr niedriger Wettbewerb"
67,Pforzheim,Baden-Württemberg,126000,entrümpelung pforzheim,57,181,4.50,12,11.5,4.9,17.0,9.3,5.0,4.5,52.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Karlsruhe/Stuttgart-Rand; wenig Wettbewerb"
68,Heilbronn,Baden-Württemberg,126000,entrümpelung heilbronn,57,181,4.50,15,11.5,4.9,17.0,9.1,5.0,4.5,52.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Stuttgart-Rand; wenig Wettbewerb"
69,Osnabrück,Niedersachsen,165000,entrümpelung osnabrück,74,237,3.80,25,12.8,5.5,17.0,8.2,4.0,4.5,52.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"NDS; mittlerer Markt"
70,Oldenburg,Niedersachsen,170000,entrümpelung oldenburg,76,244,3.80,25,12.9,5.5,17.0,8.2,4.0,4.5,52.1,C,SCHÄTZUNG (Bevölkerungs-Proxy),"NDS; mittlerer Markt"
71,Wolfsburg,Niedersachsen,125000,entrümpelung wolfsburg,56,180,4.00,12,11.5,4.9,17.0,9.3,4.0,5.0,51.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"NDS; VW-Stadt; sehr niedriger Wettbewerb"
72,Iserlohn,Nordrhein-Westfalen,93000,entrümpelung iserlohn,42,134,3.80,8,9.8,4.2,17.0,9.6,6.0,5.0,51.6,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Sauerland/Ruhrgebiet-Rand; kaum Wettbewerb"
73,Jena,Thüringen,111000,entrümpelung jena,50,160,3.50,10,10.9,4.7,17.0,9.4,4.0,5.0,51.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Thüringen; Uni-Stadt; sehr niedriger Wettbewerb"
74,Ulm,Baden-Württemberg,128000,entrümpelung ulm,58,185,4.50,15,11.6,5.0,17.0,9.1,4.0,4.5,51.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"BW; Grenzstadt BY/BW; gutes Potenzial"
75,Bremerhaven,Bremen,112000,entrümpelung bremerhaven,50,161,3.80,10,11.0,4.7,17.0,9.4,4.0,5.0,51.1,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Zweite Bremen-Stadt; wenig eigenständiger Wettbewerb"
76,Aschaffenburg,Bayern,72000,entrümpelung aschaffenburg,32,104,5.00,8,8.5,3.6,17.0,9.6,7.0,5.0,50.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Frankfurt-Cluster; kaum Wettbewerb; sehr gutes SEO-Cluster-Potenzial"
77,Würzburg,Bayern,127000,entrümpelung würzburg,57,183,4.80,18,11.5,4.9,17.0,8.8,4.0,4.5,50.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Unterfranken; moderater Wettbewerb"
78,Worms,Rheinland-Pfalz,83000,entrümpelung worms,37,120,4.50,8,9.2,3.9,17.0,9.6,6.0,5.0,50.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Mannheim/Mainz-Cluster; kaum Wettbewerb"
79,Rosenheim,Bayern,64000,entrümpelung rosenheim,29,92,5.00,8,8.0,3.4,17.0,9.6,7.0,5.0,50.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"München-Cluster-Süd; touristisch; kaum Wettbewerb"
80,Freising,Bayern,49000,entrümpelung freising,22,70,5.00,3,6.5,2.8,17.0,10.0,9.0,5.0,50.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"München-Cluster-Satellit; Flughafen-Nähe; kaum Wettbewerb"
81,Dachau,Bayern,49000,entrümpelung dachau,22,70,5.00,5,6.5,2.8,17.0,9.8,9.0,5.0,50.1,C,SCHÄTZUNG (Bevölkerungs-Proxy),"München-Cluster-Satellit; sehr niedriger Wettbewerb"
82,Salzgitter,Niedersachsen,95000,entrümpelung salzgitter,43,137,3.80,5,10.1,4.3,17.0,9.8,4.0,5.0,50.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Braunschweig-Cluster; sehr niedriger Wettbewerb"
83,Hildesheim,Niedersachsen,100000,entrümpelung hildesheim,45,144,4.00,10,10.3,4.4,17.0,9.4,4.0,5.0,50.1,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Hannover-Cluster-Rand; wenig Wettbewerb"
84,Gütersloh,Nordrhein-Westfalen,100000,entrümpelung gütersloh,45,144,4.00,10,10.3,4.4,17.0,9.4,4.0,5.0,50.1,C,SCHÄTZUNG (Bevölkerungs-Proxy),"OWL; Bertelsmann-Stadt; wenig Wettbewerb"
85,Göttingen,Niedersachsen,120000,entrümpelung göttingen,54,173,4.00,12,11.3,4.8,17.0,9.3,3.0,4.5,49.9,C,SCHÄTZUNG (Bevölkerungs-Proxy),"NDS; Uni-Stadt; kaum Wettbewerb"
86,Trier,Rheinland-Pfalz,110000,entrümpelung trier,49,158,4.00,12,10.8,4.6,17.0,9.3,3.0,5.0,49.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"RP; isolierter Markt; Weinregion; wenig Wettbewerb"
87,Cottbus,Brandenburg,100000,entrümpelung cottbus,45,144,3.50,8,10.3,4.4,17.0,9.6,3.0,5.0,49.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"BB; ost-deutsch; sehr niedriger Wettbewerb"
88,Bamberg,Bayern,77000,entrümpelung bamberg,35,111,4.80,8,8.9,3.8,17.0,9.6,5.0,5.0,49.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Nürnberg-Cluster-Rand; UNESCO-Stadt; wenig Wettbewerb"
89,Lüneburg,Niedersachsen,77000,entrümpelung lüneburg,35,111,4.00,8,8.9,3.8,17.0,9.6,5.0,5.0,49.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Hamburg-Cluster-Süd; Tourismusregion; wenig Wettbewerb"
90,Kaiserslautern,Rheinland-Pfalz,98000,entrümpelung kaiserslautern,44,141,3.80,8,10.3,4.4,17.0,9.6,3.0,5.0,49.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"RP; mittlere Stadt; isolierter Markt; wenig Wettbewerb"
91,Siegen,Nordrhein-Westfalen,101000,entrümpelung siegen,45,146,3.80,8,10.3,4.4,17.0,9.6,3.0,5.0,49.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"NRW-Siegerland; isoliert; wenig Wettbewerb"
92,Zwickau,Sachsen,88000,entrümpelung zwickau,40,127,3.20,8,9.5,4.1,17.0,9.6,4.0,5.0,49.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Sachsen; Chemnitz-Cluster-Rand; sehr wenig Wettbewerb"
93,Schwerin,Mecklenburg-Vorpommern,96000,entrümpelung schwerin,43,138,3.20,8,10.1,4.3,17.0,9.6,3.0,5.0,49.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"MV-Hauptstadt; sehr niedriger Wettbewerb"
94,Konstanz,Baden-Württemberg,85000,entrümpelung konstanz,38,123,4.50,8,9.4,4.0,17.0,9.6,4.0,5.0,49.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Bodensee; Tourismusregion; wenig Wettbewerb"
95,Villingen-Schwenningen,Baden-Württemberg,85000,entrümpelung villingen,38,123,4.00,8,9.4,4.0,17.0,9.6,4.0,5.0,49.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"BW; Schwarzwald-Rand; wenig Wettbewerb"
96,Gera,Thüringen,92000,entrümpelung gera,41,133,3.20,8,9.8,4.2,17.0,9.6,3.0,5.0,48.6,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Thüringen; ostdeutsch; sehr wenig Wettbewerb"
97,Bayreuth,Bayern,74000,entrümpelung bayreuth,33,107,4.50,8,8.7,3.7,17.0,9.6,4.0,5.0,48.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Nürnberg-Cluster-Rand; Festspielstadt; wenig Wettbewerb"
98,Marburg,Hessen,74000,entrümpelung marburg,33,107,4.50,8,8.7,3.7,17.0,9.6,4.0,5.0,48.0,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Hessen; Uni-Stadt; wenig Wettbewerb"
99,Germering,Bayern,41000,entrümpelung germering,18,59,5.00,3,5.5,2.4,17.0,10.0,9.0,5.0,48.9,C,SCHÄTZUNG (Bevölkerungs-Proxy),"München-Cluster-Satellit; Westen München; sehr wenig Wettbewerb"
100,Dessau-Roßlau,Sachsen-Anhalt,78000,entrümpelung dessau,35,112,3.00,6,9.0,3.9,17.0,9.7,3.0,5.0,47.6,C,SCHÄTZUNG (Bevölkerungs-Proxy),"ST; ostdeutsch; sehr wenig Wettbewerb"
101,Friedrichshafen,Baden-Württemberg,62000,entrümpelung friedrichshafen,28,89,4.50,5,8.0,3.4,17.0,9.8,4.0,5.0,47.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Bodensee; Messe-Stadt; wenig Wettbewerb"
102,Peine,Niedersachsen,50000,entrümpelung peine,22,72,3.80,3,6.7,2.9,17.0,10.0,5.0,5.0,46.6,D,SCHÄTZUNG (Bevölkerungs-Proxy),"Hannover/Braunschweig-Cluster; zu klein standalone"
103,Stralsund,Mecklenburg-Vorpommern,57000,entrümpelung stralsund,26,82,3.20,3,7.3,3.1,17.0,10.0,3.0,5.0,45.4,D,SCHÄTZUNG (Bevölkerungs-Proxy),"MV; Hansestadt; sehr klein; vorwiegend touristisch"
104,Greifswald,Mecklenburg-Vorpommern,57000,entrümpelung greifswald,26,82,3.20,3,7.3,3.1,17.0,10.0,3.0,5.0,45.4,D,SCHÄTZUNG (Bevölkerungs-Proxy),"MV; Uni-Stadt; zu klein standalone"
105,Neumünster,Schleswig-Holstein,80000,entrümpelung neumünster,36,115,3.50,5,9.1,3.9,17.0,9.8,4.0,5.0,48.8,C,SCHÄTZUNG (Bevölkerungs-Proxy),"SH; Kiel-Cluster; wenig Wettbewerb"
106,Neubrandenburg,Mecklenburg-Vorpommern,62000,entrümpelung neubrandenburg,28,89,3.20,3,8.0,3.4,17.0,10.0,3.0,5.0,46.4,D,SCHÄTZUNG (Bevölkerungs-Proxy),"MV; zu klein für standalone; wenig Potenzial"
107,Brandenburg an der Havel,Brandenburg,73000,entrümpelung brandenburg,33,105,3.50,5,8.7,3.7,17.0,9.8,5.0,5.0,49.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"BB; Berlin-Cluster-West; wenig Wettbewerb"
