cluster_city,satellite_city,state,distance_km,population_satellite,estimated_providers,cluster_score,seo_opportunity_score,recommended_url,notes
Nürnberg,Bayreuth,Bayern,80,74000,8,4,48,/entruempelung-bayreuth/,Nürnberg-Cluster-NO; eigenständig
Mannheim,Ludwigshafen,Rheinland-Pfalz,2,172000,15,9,56,/entruempelung-ludwigshafen/,Mannheim-Zwillingsstadt; eigenständig sehr attraktiv
Mannheim,Heidelberg,Baden-Württemberg,15,161000,30,7,54,/entruempelung-heidelberg/,Mannheim-Cluster-N; Uni-Stadt
Mannheim,Weinheim,Baden-Württemberg,20,45000,3,7,44,/entruempelung-weinheim/,Mannheim-Cluster-N; wenig Wettbewerb
Mannheim,Viernheim,Hessen,5,33000,2,8,42,/entruempelung-viernheim/,Mannheim-Cluster-N; Hessen
Ruhrgebiet,Dortmund,Nordrhein-Westfalen,0,588000,77,9,65,/entruempelung-dortmund/,Ruhrgebiet-O; eigenständig
Ruhrgebiet,Essen,Nordrhein-Westfalen,30,579000,60,9,65,/entruempelung-essen/,Ruhrgebiet-Mitte; eigenständig
Ruhrgebiet,Bochum,Nordrhein-Westfalen,15,365000,55,9,61,/entruempelung-bochum/,Ruhrgebiet-Mitte; eigenständig
Ruhrgebiet,Duisburg,Nordrhein-Westfalen,20,498000,65,9,64,/entruempelung-duisburg/,Ruhrgebiet-W; eigenständig
Ruhrgebiet,Gelsenkirchen,Nordrhein-Westfalen,25,259000,35,9,59,/entruempelung-gelsenkirchen/,Ruhrgebiet-Mitte; eigenständig
Ruhrgebiet,Mülheim,Nordrhein-Westfalen,10,170000,25,9,57,/entruempelung-muelheim/,Ruhrgebiet-W; eigenständig
Ruhrgebiet,Herne,Nordrhein-Westfalen,10,154000,20,9,57,/entruempelung-herne/,Ruhrgebiet-Mitte; eigenständig
Ruhrgebiet,Oberhausen,Nordrhein-Westfalen,20,210000,30,9,58,/entruempelung-oberhausen/,Ruhrgebiet-W; eigenständig
Ruhrgebiet,Hagen,Nordrhein-Westfalen,35,189000,25,7,56,/entruempelung-hagen/,Ruhrgebiet-SO; eigenständig
Ruhrgebiet,Hamm,Nordrhein-Westfalen,50,179000,20,7,56,/entruempelung-hamm/,Ruhrgebiet-O; eigenständig
Ruhrgebiet,Wuppertal,Nordrhein-Westfalen,40,355000,45,7,60,/entruempelung-wuppertal/,Ruhrgebiet-S; eigenständig
Ruhrgebiet,Recklinghausen,Nordrhein-Westfalen,20,115000,15,8,55,/entruempelung-recklinghausen/,Ruhrgebiet-N; eigenständig
Ruhrgebiet,Bottrop,Nordrhein-Westfalen,15,117000,12,8,55,/entruempelung-bottrop/,Ruhrgebiet-NW; eigenständig
Ruhrgebiet,Solingen,Nordrhein-Westfalen,30,159000,20,7,55,/entruempelung-solingen/,Bergisches Land; eigenständig
Ruhrgebiet,Remscheid,Nordrhein-Westfalen,35,109000,12,7,54,/entruempelung-remscheid/,Bergisches Land; eigenständig
Ruhrgebiet,Witten,Nordrhein-Westfalen,10,96000,10,8,54,/entruempelung-witten/,Ruhrgebiet-SO; eigenständig
Ruhrgebiet,Moers,Nordrhein-Westfalen,10,103000,10,8,54,/entruempelung-moers/,Duisburg-Cluster; eigenständig
Leipzig,Halle (Saale),Sachsen-Anhalt,30,238000,25,6,57,/entruempelung-halle/,Leipzig-Halle-Cluster; eigenständig groß
Leipzig,Chemnitz,Sachsen,80,243000,30,5,55,/entruempelung-chemnitz/,Sachsen-Dreieck; eigenständig
Leipzig,Zwickau,Sachsen,70,88000,8,4,49,/entruempelung-zwickau/,Leipzig-Cluster-SW; eigenständig
Leipzig,Bitterfeld-Wolfen,Sachsen-Anhalt,40,40000,2,6,43,/entruempelung-bitterfeld/,Leipzig-Cluster-N
Hannover,Hildesheim,Niedersachsen,30,100000,10,4,50,/entruempelung-hildesheim/,Hannover-Cluster-S; eigenständig
Hannover,Braunschweig,Niedersachsen,55,249000,30,4,55,/entruempelung-braunschweig/,NDS; eigenständig
Hannover,Lüneburg,Niedersachsen,95,77000,8,3,49,/entruempelung-lueneburg/,Hannover-Cluster-NE
Dresden,Chemnitz,Sachsen,75,243000,30,5,55,/entruempelung-chemnitz/,Sachsen-Dreieck; eigenständig
Dresden,Zwickau,Sachsen,100,88000,8,4,49,/entruempelung-zwickau/,Sachsen-Cluster
Düsseldorf,Krefeld,Nordrhein-Westfalen,20,226000,30,8,58,/entruempelung-krefeld/,Düsseldorf-Cluster-NW; eigenständig
Düsseldorf,Neuss,Nordrhein-Westfalen,8,152000,15,8,56,/entruempelung-neuss/,Düsseldorf-Cluster; eigenständig
Düsseldorf,Mönchengladbach,Nordrhein-Westfalen,30,261000,35,8,59,/entruempelung-moenchengladbach/,Düsseldorf-Cluster-W; eigenständig
Düsseldorf,Ratingen,Nordrhein-Westfalen,10,90000,6,8,51,/entruempelung-ratingen/,Düsseldorf-Cluster-N; wenig Wettbewerb
Düsseldorf,Meerbusch,Nordrhein-Westfalen,12,55000,3,8,45,/entruempelung-meerbusch/,Düsseldorf-Cluster; wenig Wettbewerb
